deployment,datetime,wd,ws
1001,3/30/2017 0:00,18.69,0.858
1001,3/30/2017 1:00,154.1,0.721
1001,3/30/2017 2:00,290.8,1.41
1001,3/30/2017 3:00,333.2,1.193
1001,3/30/2017 4:00,267.4,1.277
1001,3/30/2017 5:00,314,1.376
1001,3/30/2017 6:00,320.2,1.861
1001,3/30/2017 7:00,318.4,1.583
1001,3/30/2017 8:00,228.1,1.437
1001,3/30/2017 9:00,141.5,2.077
1001,3/30/2017 10:00,139.3,3.812
1001,3/30/2017 11:00,138.2,3.768
1001,3/30/2017 12:00,146.7,4.048
1001,3/30/2017 13:00,129.7,5.28
1001,3/30/2017 14:00,96.5,4.06
1001,3/30/2017 15:00,314.7,5.147
1001,3/30/2017 16:00,288.1,7.813
1001,3/30/2017 17:00,270.7,6.589
1001,3/30/2017 18:00,300.4,6.548
1001,3/30/2017 19:00,350.3,9.97
1001,3/30/2017 20:00,338,10.62
1001,3/30/2017 21:00,327.2,10.61
1001,3/30/2017 22:00,324.8,12
1001,3/30/2017 23:00,319.1,10.03
1001,3/31/2017 0:00,320.1,5.857
1002,3/30/2017 0:00,176.4,1.411
1002,3/30/2017 1:00,221.9,1.775
1002,3/30/2017 2:00,219.7,1.666
1002,3/30/2017 3:00,292.4,1.02
1002,3/30/2017 4:00,223.3,2.097
1002,3/30/2017 5:00,206.8,2
1002,3/30/2017 6:00,312.5,1.691
1002,3/30/2017 7:00,295.3,1.839
1002,3/30/2017 8:00,21.71,1.093
1002,3/30/2017 9:00,55.74,1.926
1002,3/30/2017 10:00,68.67,2.529
1002,3/30/2017 11:00,92.3,4.255
1002,3/30/2017 12:00,64.73,2.825
1002,3/30/2017 13:00,64.48,5.046
1002,3/30/2017 14:00,250.2,8.9
1002,3/30/2017 15:00,258.2,10.96
1002,3/30/2017 16:00,252.8,12.19
1002,3/30/2017 17:00,260.6,11.27
1002,3/30/2017 18:00,258.3,11.74
1002,3/30/2017 19:00,297.5,5.9
1002,3/30/2017 20:00,336.4,9.77
1002,3/30/2017 21:00,331.8,9.96
1002,3/30/2017 22:00,330.8,11.29
1002,3/30/2017 23:00,333.2,11.16
1002,3/31/2017 0:00,327,8.89
1004,3/30/2017 0:00,126.7,2.826
1004,3/30/2017 1:00,141.6,2.968
1004,3/30/2017 2:00,104,2.034
1004,3/30/2017 3:00,106.6,2.269
1004,3/30/2017 4:00,126.8,2.578
1004,3/30/2017 5:00,111,2.646
1004,3/30/2017 6:00,121.1,2.386
1004,3/30/2017 7:00,138.9,2.973
1004,3/30/2017 8:00,123.8,2.284
1004,3/30/2017 9:00,154.4,2.748
1004,3/30/2017 10:00,163.5,2.382
1004,3/30/2017 11:00,173.8,2.375
1004,3/30/2017 12:00,235.8,3.527
1004,3/30/2017 13:00,263.2,3.727
1004,3/30/2017 14:00,272.6,7.779
1004,3/30/2017 15:00,255.3,10.49
1004,3/30/2017 16:00,246.2,11.92
1004,3/30/2017 17:00,244,14.15
1004,3/30/2017 18:00,244.9,13.29
1004,3/30/2017 19:00,255.3,10.03
1004,3/30/2017 20:00,259,7.435
1004,3/30/2017 21:00,298.1,7.355
1004,3/30/2017 22:00,316.4,10.14
1004,3/30/2017 23:00,319.1,12.28
1004,3/31/2017 0:00,314.1,12.34
1101,3/30/2017 0:00,260.3,2.849
1101,3/30/2017 1:00,257.3,3.247
1101,3/30/2017 2:00,265,4.634
1101,3/30/2017 3:00,277.2,2.879
1101,3/30/2017 4:00,285.7,1.869
1101,3/30/2017 5:00,277.8,1.595
1101,3/30/2017 6:00,277.8,2.614
1101,3/30/2017 7:00,348.5,1.774
1101,3/30/2017 8:00,54.53,2.404
1101,3/30/2017 9:00,68.67,3.193
1101,3/30/2017 10:00,263.7,6.499
1101,3/30/2017 11:00,250.5,8.48
1101,3/30/2017 12:00,244.8,9.56
1101,3/30/2017 13:00,235.2,10.03
1101,3/30/2017 14:00,240.8,10.3
1101,3/30/2017 15:00,261.7,12.35
1101,3/30/2017 16:00,267.4,16.82
1101,3/30/2017 17:00,252.4,19.12
1101,3/30/2017 18:00,254.3,17.64
1101,3/30/2017 19:00,267.2,12.84
1101,3/30/2017 20:00,288.7,11.73
1101,3/30/2017 21:00,304.2,8.56
1101,3/30/2017 22:00,307,6.58
1101,3/30/2017 23:00,293.2,8.25
1101,3/31/2017 0:00,283.3,9.2
1102,3/30/2017 0:00,281,3.814
1102,3/30/2017 1:00,262,3.568
1102,3/30/2017 2:00,279.8,2.268
1102,3/30/2017 3:00,306.4,3.439
1102,3/30/2017 4:00,300.4,2.712
1102,3/30/2017 5:00,269.6,1.947
1102,3/30/2017 6:00,328.1,2.31
1102,3/30/2017 7:00,342.1,3.237
1102,3/30/2017 8:00,11.77,2.37
1102,3/30/2017 9:00,68.13,2.144
1102,3/30/2017 10:00,358.2,4.479
1102,3/30/2017 11:00,274,9.89
1102,3/30/2017 12:00,277.7,11.81
1102,3/30/2017 13:00,250.7,11.56
1102,3/30/2017 14:00,251.5,12.14
1102,3/30/2017 15:00,252.8,11.45
1102,3/30/2017 16:00,265.6,19.08
1102,3/30/2017 17:00,265.2,23.08
1102,3/30/2017 18:00,267.3,21.25
1102,3/30/2017 19:00,279.1,15.33
1102,3/30/2017 20:00,295.6,11.66
1102,3/30/2017 21:00,293.7,9.52
1102,3/30/2017 22:00,288.5,7.05
1102,3/30/2017 23:00,272.5,7.095
1102,3/31/2017 0:00,290.8,10.53
