deployment,x,y
Calipatria/Mulberry,647922,3657181
Seeley,618769,3625339
Meloland,645465,3630858
Ripley,719720,3712798
Palo Verde II,712157,3696149
Westmorland North,625018,3660799
Indio 2,569190,3734532
Borrego Springs,559139,3681228
La Quinta II,567396,3726708
Thermal South,578060,3717627
Buttercup ,698253,3624417
Cahuilla ,670686,3649843
Calexico-Ethel Street ,642227,3616406
El Centro-9th Street ,634559,3629159
El Centro Naval Air Facility #2 ,625376,3632681
Imperial County Airport ,633226,3633848
Niland-English Road ,635584.579,3675897.902
Thermal-Jacqueline Cochran Regional Airport ,578060,3717627
Westmorland-W 1st Street ,628531,3655720
Indio-Jackson Street ,572703.488,3730119.834
Joshua Tree National Park ,609264,3734094
Palm Springs-Fire Station ,542451,3745903
Palm Springs Regional Airport ,545506.683,3743462.006
PINYON ,550660,3715479
Brawley-220 Main Street ,636516.256,3649829.9
